boundary_id,record_index,payload_type,termination_reason
compaction-84135,84135,compacted,EXPLICIT_COMPACTION
compaction-84138,84138,context_compacted,EXPLICIT_COMPACTION
compaction-84208,84208,compacted,EXPLICIT_COMPACTION
compaction-84211,84211,context_compacted,EXPLICIT_COMPACTION
compaction-84266,84266,compacted,EXPLICIT_COMPACTION
compaction-84269,84269,context_compacted,EXPLICIT_COMPACTION
compaction-84346,84346,compacted,EXPLICIT_COMPACTION
compaction-84349,84349,context_compacted,EXPLICIT_COMPACTION
compaction-84453,84453,compacted,EXPLICIT_COMPACTION
compaction-84456,84456,context_compacted,EXPLICIT_COMPACTION
compaction-84551,84551,compacted,EXPLICIT_COMPACTION
compaction-84554,84554,context_compacted,EXPLICIT_COMPACTION
compaction-84646,84646,compacted,EXPLICIT_COMPACTION
compaction-84649,84649,context_compacted,EXPLICIT_COMPACTION
compaction-84710,84710,compacted,EXPLICIT_COMPACTION
compaction-84713,84713,context_compacted,EXPLICIT_COMPACTION
compaction-84770,84770,compacted,EXPLICIT_COMPACTION
compaction-84773,84773,context_compacted,EXPLICIT_COMPACTION
compaction-84836,84836,compacted,EXPLICIT_COMPACTION
compaction-84839,84839,context_compacted,EXPLICIT_COMPACTION
compaction-84912,84912,compacted,EXPLICIT_COMPACTION
compaction-84915,84915,context_compacted,EXPLICIT_COMPACTION
compaction-84966,84966,compacted,EXPLICIT_COMPACTION
compaction-84969,84969,context_compacted,EXPLICIT_COMPACTION
compaction-85074,85074,compacted,EXPLICIT_COMPACTION
compaction-85077,85077,context_compacted,EXPLICIT_COMPACTION
compaction-85208,85208,compacted,EXPLICIT_COMPACTION
compaction-85211,85211,context_compacted,EXPLICIT_COMPACTION
compaction-85246,85246,compacted,EXPLICIT_COMPACTION
compaction-85249,85249,context_compacted,EXPLICIT_COMPACTION
compaction-85337,85337,compacted,EXPLICIT_COMPACTION
compaction-85340,85340,context_compacted,EXPLICIT_COMPACTION
compaction-85437,85437,compacted,EXPLICIT_COMPACTION
compaction-85440,85440,context_compacted,EXPLICIT_COMPACTION
compaction-85515,85515,compacted,EXPLICIT_COMPACTION
compaction-85518,85518,context_compacted,EXPLICIT_COMPACTION
compaction-85603,85603,compacted,EXPLICIT_COMPACTION
compaction-85606,85606,context_compacted,EXPLICIT_COMPACTION
compaction-85692,85692,compacted,EXPLICIT_COMPACTION
compaction-85695,85695,context_compacted,EXPLICIT_COMPACTION
compaction-85754,85754,compacted,EXPLICIT_COMPACTION
compaction-85757,85757,context_compacted,EXPLICIT_COMPACTION
compaction-85867,85867,compacted,EXPLICIT_COMPACTION
compaction-85870,85870,context_compacted,EXPLICIT_COMPACTION
compaction-85928,85928,compacted,EXPLICIT_COMPACTION
compaction-85931,85931,context_compacted,EXPLICIT_COMPACTION
compaction-86083,86083,compacted,EXPLICIT_COMPACTION
compaction-86086,86086,context_compacted,EXPLICIT_COMPACTION
compaction-86197,86197,compacted,EXPLICIT_COMPACTION
compaction-86200,86200,context_compacted,EXPLICIT_COMPACTION
compaction-86308,86308,compacted,EXPLICIT_COMPACTION
compaction-86311,86311,context_compacted,EXPLICIT_COMPACTION
compaction-86481,86481,compacted,EXPLICIT_COMPACTION
compaction-86484,86484,context_compacted,EXPLICIT_COMPACTION
compaction-86591,86591,compacted,EXPLICIT_COMPACTION
compaction-86594,86594,context_compacted,EXPLICIT_COMPACTION
compaction-86751,86751,compacted,EXPLICIT_COMPACTION
compaction-86754,86754,context_compacted,EXPLICIT_COMPACTION
compaction-86892,86892,compacted,EXPLICIT_COMPACTION
compaction-86895,86895,context_compacted,EXPLICIT_COMPACTION
compaction-86964,86964,compacted,EXPLICIT_COMPACTION
compaction-86967,86967,context_compacted,EXPLICIT_COMPACTION
compaction-87019,87019,compacted,EXPLICIT_COMPACTION
compaction-87022,87022,context_compacted,EXPLICIT_COMPACTION
compaction-87152,87152,compacted,EXPLICIT_COMPACTION
compaction-87155,87155,context_compacted,EXPLICIT_COMPACTION
compaction-87279,87279,compacted,EXPLICIT_COMPACTION
compaction-87282,87282,context_compacted,EXPLICIT_COMPACTION
compaction-87371,87371,compacted,EXPLICIT_COMPACTION
compaction-87374,87374,context_compacted,EXPLICIT_COMPACTION
compaction-87474,87474,compacted,EXPLICIT_COMPACTION
compaction-87477,87477,context_compacted,EXPLICIT_COMPACTION
compaction-87546,87546,compacted,EXPLICIT_COMPACTION
compaction-87549,87549,context_compacted,EXPLICIT_COMPACTION
compaction-87620,87620,compacted,EXPLICIT_COMPACTION
compaction-87623,87623,context_compacted,EXPLICIT_COMPACTION
compaction-87739,87739,compacted,EXPLICIT_COMPACTION
